USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
Northern Mariana Islands,106,,2.0,,,,,,23944.0,,
American Samoa,3,,,,,3.0,,,,,
US Military,120398,"+2,662",130.0,+1,72202.0,48066.0,,,,,
Veteran Affairs,114767,"+1,873",5063.0,+41,93945.0,15759.0,,,1021895.0,,
Federal Prisons,29628,+733,148.0,+1,23419.0,6061.0,,,81528.0,,
Navajo Nation,17035,+310,658.0,+2,9512.0,6865.0,,,166820.0,,
Grand Princess Ship,103,,3.0,,,100.0,,,,,
Wuhan Repatriated,3,,,,,3.0,,,3.0,,
Diamond Princess Ship,46,,,,,46.0,,,46.0,,
Total:,14314265,"+203,737",279867.0,"+2,833",8462434.0,5571964.0,43245.0,846.0,199906513.0,603942.0,
