USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
Northern Mariana Islands,106,+1,2.0,,,,,,23944.0,,
American Samoa,3,,,,,3.0,,,,,
US Military,117736,"+6,754",129.0,+5,70890.0,46717.0,,,,,
Veteran Affairs,110731,"+1,015",4912.0,+12,90045.0,15774.0,,,989636.0,,
Federal Prisons,28290,+621,147.0,,22008.0,6135.0,,,80847.0,,
Navajo Nation,16595,+168,653.0,,9188.0,6754.0,,,158451.0,,
Grand Princess Ship,103,,3.0,,,100.0,,,,,
Wuhan Repatriated,3,,,,,3.0,,,3.0,,
Diamond Princess Ship,46,,,,,46.0,,,46.0,,
Total:,13926318,"+166,873",274365.0,"+1,271",8224314.0,5427639.0,42073.0,829.0,194913696.0,588858.0,
